BLQ-st,Project Name,Address,BLQ - Ward,Legistar File ID,Agenda Number
3001-19,"Build Newark, LLP",87 SEYMOUR AVE,SOUTH,17-0486,7R2-c 071217
2693-61,"Three Properties, LLC",92 W ALPINE ST,SOUTH,22-1000,7R2-c 071923
3604-61,"Custer Ave Lot 186, LLC",186 CUSTER AVE,South,20-0179,7R2-c 072220
266-32,"Celaya Capital, LLC",394 S 11TH ST,WEST,21-1881,7R2c 080322
302-21,Allied Community Investments Group LLC,415 S 7TH ST,Central,20-0910,7R2-c 080421
3661-13,Alicia Gift ,118 LEHIGH AVE,SOUTH,19-0681,7R2-c 080719
3597-18,Algorithm Real Estate Holdings Limited Liability Company,268 SEYMOUR AVE,SOUTH,19-0722,7R2-c 082019
277-36,"Willie Hawkins, LLC",286 LITTLETON AVE,Central,21-1107,7R2-c 090121
3029-15,"Green Stories II, LLC.",26 TILLINGHAST ST,South,17-1120,7R2-c 090717
3697-1,"Black Congress Enterprises, LLC",53 PARK VIEW TERR,SOUTH,22-0422,7R2-c 090822
291-7,"St. Dean Enterprises, LLC",447 15TH AVE,CENTRAL,21-0405,7R2-c 091521
1789.01-6,"Littleton Partners, LLC",365 S 20TH ST,WEST,22-0186,7R2-c 092122
2618-16,"Springview Development Group, LLC",651 S 11TH ST,SOUTH,22-0875,7R2-c 100522
1813-46,"LEF Developments, LLC",214 S 10TH ST,West,20-0987,7R2-c 100720
2665-57,"Samau Realty, LLC.",110 AVON AVE,South,17-0714,7R2-c 101118
900-12,PBJ Realty Company LLC,76 PARKHURST ST,East,17-1333,7R2-C 111317
959-45,"Nichols Street Apartments, LLC",103 NICHOLS ST,EAST,21-0935,7R2-c 111521
113-6,"Ascension Capital Partners I, LLC",640-642 ML KING BLVD,CENTRAL,18-0879,7R2-c 120518
827.01-11,2052 McCarter Industrial Urban Renewal,2052-2090 MCCARTER HWY,North,17-1530,7R2-C(S) 110817
1841-16,"The Mid Atlantic Investment Alliance, LLC",349 WEST MARKET ST,Central,19-1580,7R2-d (s) 011420
1929-90,The National Islamic Association Inc.,260-264 N 7TH ST,CENTRAL,22-0275,7R2-d (s) 041222
3066-28,Oliver R. Mayson,114-116 LESLIE ST,South,20-1253,7R2-d (s) 051121
1937-60,Maureen Poncelet-Delsole Real Estate Corporation  ,179 N 9TH ST,WEST,21-1093,7R2-d (s) 052422
2624-59,Peak Hour Transportation,716 S 10TH ST,South,19-0549,7R2-d (s) 070219
3614-4,"J Duncan & Son, LLC",360-364 HAWTHORNE AVE,SOUTH,21-0486,7R2-d (s) 081921
3028-13,E. Gill Development LLC,131 HEDDEN TERR,South,19-0749,7R2-d (s) 082019
164-92,Libby Heller,17-19 EDISON PL,EAST,22-1288,7R2-d (s/as) 102522
3031-18,"Algorithm Real Estate Holdings, LLC",99 OSBORNE TERR,South,20-0777,7R2-d 010621
1164-10,"Thomas Street Urban Renewal, LLC",184 THOMAS ST,East,20-1590,7R2-d 012121
773-13,Lilac Development,80 MONTCLAIR AVE,North,17-1645,7R2D 012418
291-40,"Simel'Homme Property Investing, LLC",408 S 8TH ST,Central,20-0857,7R2-d 020321
329-30,"Rising Plains, LLC",474 S 15TH ST,WEST,22-1724,7R2-d 041923
825-30,"SPG 2013 McCarter Hwy Urban Renewal, LLC",2035-2045 MCCARTER HWY R,,21-1754,7R2-d 05/18/2022
3076-8,"Concrete Property, LLC",58 FABYAN PL,SOUTH,22-1296,7R2-d 050323
1794-57,"Miko Property Investments, LLC",296 S 20TH ST,WEST,20-1240,7R2-d 050422
3612-40,Eric Donald and Rose Rawls,161-163 OSBORNE TER,South,19-1410,7R2-d 050620
278-5,Abdul Roberson,263 LITTLETON AVE,CENTRAL,22-1641,7R2-d 052423
776.05-3.04,,,,22-1586,7R2-d 060723
3598-3,"Enterprise Builders, LLC",269 SEYMOUR AVE,SOUTH,19-1833,7R2-d 061020
4065-14,Natalie Antoine,22 NORWOOD ST,West,21-0547,7R2-d 070821
332-18,Alpha Development,515 S 14TH ST,West,17-1709,7R2-D 071118
2711-1,"Dunbar Center, Inc.",775-793 BERGEN ST,South,17-1152,7R2-d 071217
4108-73,Michael C. Heard,27 MEAD ST,WEST,21-1469,7R2-d 071322
3699-1,Malkia L. King,133-137 GOLDSMITH AVE,SOUTH,20-0200,7R2-d 072220
1825-56,"Burrowes Development Group, LLC",162 S 12TH ST,WEST,21-0221,7R2-d 080421     
295-27,"Empire Risk Properties, LLC",51 16TH AVE,Central,19-0748,7R2-d 080719
1901.02-1,Option Builders LLC,8-20 N 14TH ST,WEST,19-0544,7R2-d 090519
1781-54,"The Chad School Street Foundation, Inc.",304 S 9TH ST,WEST,23-0454,7R2-d 090723
2802-47,"Salerno Medical Associates, LLP",176-178 CLINTON AVE,SOUTH,22-0598,7R2-d 090822
4044-19,"Education League, LLC",175-177 WEST END AVE,West,21-0631,7R2-d 091521
333-64,Ascension Capital Partners I,528-530 S 16TH,West,17-1710,7R2-D 091918
3035-15,"SnagromEstates, LLC",321-323 W RUNYON ST,SOUTH,22-0917,7R2-d 100522
5088.03-24,"Manny & MGA, LLC.",449-457 SOUTH ST,East,17-1857,7R2-D 101118
2631-3,"Watson Realty & Development, LLC ",713 S 11TH ST,SOUTH,20-1287,7R2-d 102021
3593-1,,412 CHADWICK AVE,SOUTH,20-0049,7R2-d 102120
3035-10,"Leaders for Life, Inc",84-86 CLINTON PL,SOUTH,23-0470,7R2-d 110123
1861-57,"Lionheart Development, LLC",114 S 15TH ST,West,20-0592,7R2-d 110421
267-10,Talat Akarah,376 S 10TH ST,West,17-1436,7R2-D 111317
368-20,"The Newstead Property Group, LLC",741-747 S 20TH,SOUTH,20-0598,7R2-d 111820
2656-15,CAPC,17-19 SEYMOUR AVE,SOUTH,16-1230,7R2-d 120716
1826-20,"Jarid Jamar Construction Company, Inc",147 S 10TH ST,WEST,22-1494,7R2-d 122122
2625-1,CAPC LIHTC Scattered Sites,20 TREACY AVE,South,17-0532,7R2-d(as) 050107
5090-2,133 Haynes Avenue Urban Renewal,133-135 HAYNES AVE,South,17-1617,7R2-D(S) 110817
44-40,"Newark Burnet, LLC",46 BURNET ST,CENTRAL,16-1394,7R2-d(s) 112916
3017-12,"3MB Properties, LLC",923 S 18TH ST,SOUTH,22-0685,7R2-d092122
2483-40,Community Asset Prevention Corporation,43 CORTLAND ST,EAST,21-1260,7R2-e (s) 052422
686-1,"276 Delavan Holdings, LLC",276-280 DELAVAN AVE  E,NORTH,22-0573,7R2-e (s) 062122
361-45,South 14 Properties LLC,662- S 14TH ST,South,19-0552,7R2-e (s) 070219
334-23,"The JAYTWAR Group, LLC",513 S 16TH ST,West,21-0513,7R2-e (s) 081921
3054-28,"Saj Development, LLC",97 WILLOUGHBY ST,South,19-0750,7R2-e (s) 082019
2609-1.12,"Ridgeview Properties, LLC",369-379 18TH AVE,Central,20-0860,7R2-e 010621
3015.01-3,Jamar Piercy,899 S 20TH ST,South,20-0178,7R2-e 012022
3063-23,Charlottfields International Food Distributors Corporation ,201 HOBSON ST,South,20-0894,7R2-e 020321
1914-12,"225 Fourth Street, LLC",219-221 4TH ST,CENTRAL,22-1800,7R2-e 041923
1789-55,"Beacon Development Partners, LLC ",376 GROVE ST,WEST,20-1357,7R2-e 050422
1813-57,"MCI Construction Services, LLC",192 S 10TH ST,West,19-1411,7R2-e 050620
2850-44,CODEIT Development,24 HUDSON ST,Central,21-0722,7R2-e 070821
333-53,Gateway Property Development,508 S 16TH ST,WEST,17-1711,7R2-E 071118
1917-10,"North Six, LLC",228 N 6TH ST,CENTRAL,23-0398,7R2-e 071923
